puma22,Num Eligible,Num Ineligible
1716700,32442,51972
1717900,20616,34593
1719500,28564,42728
1719701,14223,44602
1719702,13662,31949
1719703,24018,24892
1719704,8298,36109
1719705,13069,31857
1719900,39960,36005
1720101,39734,39396
1800101,26271,16928
1800102,26856,18421
1800103,19043,28820
1800104,16216,39703
1800200,23674,44581
1800300,18514,24931
1800401,20975,22457
1800402,21891,41752
1800501,15228,20426
1800502,14257,19106
1800600,26214,35759
1800700,17254,23515
1800800,19031,29108
1800900,20643,32798
1801001,30352,26370
1801002,22726,30266
1801003,12704,32417
1801100,19068,29990
1801200,33359,40165
1801300,25785,32613
1801400,23481,28742
1801500,20452,22194
1801600,17901,23218
1801700,22127,20012
1801801,14210,44558
1801901,8438,46144
1801902,9381,37570
1802000,27368,26541
1802100,24344,21633
1802200,18738,28389
1802300,15837,49914
1802401,17875,28065
1802402,14566,33751
1802403,22187,28252
1802404,30827,26881
1802405,35125,33506
1802406,27575,33855
1802407,29164,32969
1802500,17143,44973
1802600,18995,31689
1802700,23130,22448
1802800,31644,32787
1802900,27026,29688
1803000,20624,30046
1803100,16812,26182
1803200,17263,30419
1803300,15767,33181
1803400,34226,45089
1803500,23500,35043
1803600,21798,35551
1803700,21507,28088
1900100,16354,31242
1900200,20805,27474
1900301,14442,30732
1900302,15885,33793
1900400,18028,30667
1900500,23939,30012
1900600,21336,32671
1900700,24360,39429
1900800,22164,30550
1900900,28589,43535
1901100,20118,41183
1901200,19130,27976
1901300,19091,30601
1901400,14769,32680
1901501,19556,50928
1901502,13826,38434
1901503,36286,44717
1901600,13600,34711
1901800,19817,25528
1901900,21972,27814
1902000,21747,29690
1902100,29813,40273
1902200,21455,25765
1902300,20372,22507
2000100,19370,26355
2000200,24970,35037
2000300,23333,27685
2000400,35892,26647
2000501,27900,29083
2000601,15784,35634
2000700,20742,29017
2000801,12441,39759
2000802,16445,51796
2000803,11158,50351
2000804,19965,43728
2000900,15872,31083
2001000,28669,32744
2001101,27009,27876
2001201,20443,43878
2001301,20415,41691
2001401,30281,19434
2001501,25792,39289
2001600,16350,25215
2001701,18011,24889
2001800,18661,28283
2100100,37170,40251
2100200,24945,18328
2100300,22217,18243
2100400,38207,30616
2100500,25029,28064
2100600,24069,16790
2100700,24691,13750
2100800,28043,15446
2100900,30725,13624
2101000,29671,8250
2101100,37881,17124
2101200,28268,36798
2101300,18700,23019
2101400,19036,25226
2101500,16901,24673
2101600,15682,23305
2101701,41095,17486
2101702,16519,33533
2101703,14624,38153
2101704,17381,37492
2101705,27940,28349
2101706,31732,26774
2101800,15750,33916
2101901,26362,25446
2101902,16572,28408
2101903,15678,26835
2102000,23364,29514
2102100,24707,23011
2102200,28971,17757
2102300,24752,30567
2102400,25579,42170
2102500,15325,35697
2102600,27708,37084
2102700,29552,22664
2102800,28879,23533
2200101,31741,16889
2200102,25228,22639
2200200,31016,32287
2200300,39834,23823
2200400,35756,25848
2200500,32986,18366
2200600,23045,17582
2200700,38019,28060
2200801,24202,25466
2200901,30907,24051
2201000,30853,13791
2201100,23758,20475
2201201,24058,23550
2201202,16393,33929
2201300,26261,18526
2201400,20470,20251
2201501,22057,15317
2201502,24073,16059
2201503,31333,24769
2201504,17711,24418
2201600,23244,24888
2201700,25102,30965
2201800,38748,28421
2201900,19578,21841
2202000,23944,22607
2202100,31556,30367
2202201,20321,37358
2202202,21455,24403
2202301,21128,23522
2202302,25942,36109
2202303,34799,17535
2202401,34872,23814
2202402,31606,19017
2202403,21835,27682
2202501,24279,20890
2300100,28328,25314
2300200,36728,31821
2300300,27423,29052
2300400,22595,31208
2300500,30592,47062
2300600,18301,28022
2300700,12835,33023
2300800,23825,52608
2300900,15195,44498
2301000,20314,34864
2400101,21079,25466
2400201,25468,29241
2400301,17759,37255
2400302,10679,37992
2400400,16139,48023
2400501,11211,31320
2400502,24001,37510
2400503,15340,31939
2400504,14451,28657
2400505,15982,24862
2400506,26573,24852
2400507,19373,26458
2400601,13606,38038
2400602,17419,32131
2400700,16149,24851
2400801,37928,20725
2400802,24977,27210
2400803,24959,21674
2400804,22211,24969
2400805,28572,21114
2400901,9425,34636
2400902,8851,28865
2400903,10232,28486
2401001,8247,29130
2401002,18750,38841
2401003,19514,44234
2401004,10403,39091
2401005,19845,30578
2401006,14173,25517
2401007,18602,29289
2401008,7512,34377
2401101,22004,16512
2401102,21702,32595
2401103,18376,18213
2401104,24207,21388
2401105,21112,50801
2401106,14269,33517
2401107,23638,27943
2401201,10595,35684
2401202,18788,27531
2401203,9862,31239
2401204,10320,32886
2401205,12455,35427
2401300,26856,42643
2401400,34618,37653
2401501,10071,28356
2401601,9921,27970
2401700,18820,40661
2500100,26938,30803
2500201,19192,26490
2500301,18873,27067
2500400,0,7
2500401,31644,30126
