zcta,Num Eligible,Num Ineligible
05902,28,36
05903,157,204
05904,50,64
05905,149,193
05906,215,279
05907,30,39
06001,2524,5401
06002,2497,5926
06010,8322,16127
06013,1424,2532
06016,726,1723
06018,390,694
06019,1292,2764
06020,2,5
06021,204,362
06022,19,41
06023,249,278
06024,89,159
06026,679,1454
06027,205,365
06029,2347,4024
06031,204,362
06032,2499,5348
06033,3343,8838
06035,957,2048
06037,3468,3881
06039,353,629
06040,7196,7712
06042,4848,5195
06043,699,1198
06051,5727,6400
06052,1475,1648
06053,6443,7204
06057,961,1709
06058,251,446
06059,13,27
06060,322,689
06061,32,57
06062,3238,3630
06063,517,919
06065,72,129
06066,6096,6536
06067,2346,6202
06068,227,404
06069,369,656
06070,2053,4394
06071,1503,2550
06072,13,22
06073,620,1639
06074,3114,7390
06076,2230,2468
06078,1415,3357
06079,13,24
06080,6,13
06081,172,369
06082,4876,11571
06084,2096,3594
06085,944,2021
06088,569,1350
06089,471,1008
06090,156,333
06091,30,54
06092,515,1103
06093,403,956
06095,3412,8085
06096,1459,3463
06098,1525,2712
06103,655,301
06105,4776,2308
06106,9793,4500
06107,2520,5393
06108,4882,5232
06109,3077,8136
06110,1715,3634
06111,3442,9099
06112,5972,2744
06114,6760,3107
06117,2188,4682
06118,5414,5802
06119,1946,4164
06120,3254,1495
06226,3513,4152
06231,560,961
06232,451,774
06234,1577,1744
06235,389,431
06237,757,1299
06238,1756,3011
06239,2122,2346
06241,1222,1351
06242,254,281
06243,42,46
06247,485,536
06248,746,1279
06249,1310,1537
06250,714,1217
06254,342,401
06255,868,960
06256,388,454
06258,62,68
06259,775,857
