county,CountyName,rural,Num Eligible,Num Ineligible,Percentage Eligible
13051,Chatham GA,0.0,52224,68804,43.15
13053,Chattahoochee GA,0.0,1804,1904,48.65
13055,Chattooga GA,1.0,4478,5307,45.76
13057,Cherokee GA,0.0,24313,75699,24.31
13059,Clarke GA,0.0,26161,29171,47.28
13061,Clay GA,1.0,551,473,53.81
13063,Clayton GA,0.0,60124,46087,56.61
13065,Clinch GA,1.0,1329,1011,56.79
13067,Cobb GA,0.0,93503,199259,31.94
13069,Coffee GA,1.0,8490,6443,56.85
13071,Colquitt GA,1.0,9332,7784,54.52
13073,Columbia GA,0.0,15106,35803,29.67
13075,Cook GA,1.0,3714,2812,56.91
13077,Coweta GA,0.0,16425,38977,29.65
13079,Crawford GA,1.0,2134,2336,47.74
13081,Crisp GA,1.0,3982,3430,53.72
13083,Dade GA,0.0,2907,3453,45.71
13085,Dawson GA,0.0,4633,6179,42.85
13087,Decatur GA,1.0,6540,4256,60.58
13089,DeKalb GA,0.0,96731,179439,35.03
13091,Dodge GA,1.0,4146,2713,60.45
13093,Dooly GA,1.0,2228,1920,53.71
13095,Dougherty GA,0.0,18005,16165,52.69
13097,Douglas GA,0.0,20199,31248,39.26
13099,Early GA,1.0,2437,1577,60.71
13101,Echols GA,1.0,735,558,56.84
13103,Effingham GA,0.0,11416,12123,48.5
13105,Elbert GA,1.0,2804,4865,36.56
13107,Emanuel GA,1.0,4735,3093,60.49
13109,Evans GA,1.0,2202,1493,59.59
13111,Fannin GA,1.0,4243,5492,43.59
13113,Fayette GA,0.0,12584,31375,28.63
13115,Floyd GA,0.0,16769,19219,46.6
13117,Forsyth GA,0.0,17372,69108,20.09
13119,Franklin GA,1.0,4265,4241,50.14
13121,Fulton GA,0.0,156237,308250,33.64
13123,Gilmer GA,1.0,5275,6808,43.66
13125,Glascock GA,1.0,583,466,55.58
13127,Glynn GA,1.0,14928,19591,43.25
13129,Gordon GA,1.0,9650,12507,43.55
13131,Grady GA,1.0,5848,3801,60.61
13133,Greene GA,1.0,2710,4684,36.65
13135,Gwinnett GA,0.0,129953,194112,40.1
13137,Habersham GA,1.0,8365,8306,50.18
13139,Hall GA,0.0,33024,39351,45.63
13141,Hancock GA,1.0,1788,1448,55.25
13143,Haralson GA,1.0,5089,5833,46.59
13145,Harris GA,0.0,6865,5906,53.75
13147,Hart GA,1.0,4701,4661,50.21
13149,Heard GA,1.0,2176,2201,49.71
13151,Henry GA,0.0,30260,54756,35.59
13153,Houston GA,0.0,25212,34537,42.2
13155,Irwin GA,1.0,2086,1571,57.04
13157,Jackson GA,0.0,11454,14885,43.49
13159,Jasper GA,1.0,2484,2907,46.08
13161,Jeff Davis GA,1.0,3025,2054,59.56
13163,Jefferson GA,1.0,3205,2597,55.24
13165,Jenkins GA,1.0,1769,1435,55.21
13167,Johnson GA,1.0,1909,1252,60.39
13169,Jones GA,0.0,4972,5468,47.62
13171,Lamar GA,1.0,3336,3559,48.38
13173,Lanier GA,1.0,1957,1475,57.02
13175,Laurens GA,1.0,10322,6742,60.49
13177,Lee GA,0.0,6947,6258,52.61
13179,Liberty GA,0.0,11396,12166,48.37
13181,Lincoln GA,1.0,1569,1275,55.17
13183,Long GA,1.0,2828,3015,48.4
13185,Lowndes GA,0.0,24682,20457,54.68
13187,Lumpkin GA,1.0,5793,7726,42.85
13189,McDuffie GA,1.0,4414,3579,55.22
13191,McIntosh GA,1.0,1926,2544,43.09
13193,Macon GA,1.0,2382,2069,53.52
13195,Madison GA,0.0,4311,7461,36.62
13197,Marion GA,1.0,1481,1279,53.66
13199,Meriwether GA,1.0,3936,3968,49.8
13201,Miller GA,1.0,1325,870,60.36
13205,Mitchell GA,1.0,4846,3153,60.58
13207,Monroe GA,0.0,4909,5405,47.6
13209,Montgomery GA,1.0,1767,1190,59.76
13211,Morgan GA,1.0,3413,4002,46.03
13213,Murray GA,1.0,6700,8683,43.55
13215,Muscogee GA,0.0,39017,41143,48.67
13217,Newton GA,0.0,17694,23061,43.42
13219,Oconee GA,0.0,5984,10354,36.63
13221,Oglethorpe GA,0.0,2113,3660,36.6
13223,Paulding GA,0.0,20564,37607,35.35
13225,Peach GA,0.0,4921,5413,47.62
13227,Pickens GA,1.0,5570,7218,43.56
13229,Pierce GA,1.0,3882,2943,56.88
13231,Pike GA,0.0,3407,3642,48.33
13233,Polk GA,1.0,7311,8362,46.65
13235,Pulaski GA,1.0,1517,2079,42.19
13237,Putnam GA,1.0,3871,4258,47.62
13239,Quitman GA,1.0,423,370,53.34
13241,Rabun GA,1.0,2914,3902,42.75
13243,Randolph GA,1.0,1263,1099,53.47
13245,Richmond GA,0.0,39835,34914,53.29
13247,Rockdale GA,0.0,14726,19177,43.44
13249,Schley GA,1.0,894,769,53.76
13251,Screven GA,1.0,2479,2638,48.45
13253,Seminole GA,1.0,2048,1325,60.72
13255,Spalding GA,0.0,12108,12994,48.24
13257,Stephens GA,1.0,4861,4831,50.15
13259,Stewart GA,1.0,1044,913,53.35
13261,Sumter GA,1.0,5852,5044,53.71
13263,Talbot GA,1.0,1136,977,53.76
13265,Taliaferro GA,1.0,306,254,54.64
13267,Tattnall GA,1.0,4670,3166,59.6
13269,Taylor GA,1.0,1549,1329,53.82
13271,Telfair GA,1.0,2549,1732,59.54
13273,Terrell GA,1.0,2053,1329,60.7
13275,Thomas GA,1.0,9311,7766,54.52
13277,Tift GA,1.0,8915,6731,56.98
13279,Toombs GA,1.0,5536,3752,59.6
13281,Towns GA,1.0,2158,2880,42.83
13283,Treutlen GA,1.0,1333,871,60.48
13285,Troup GA,0.0,13264,13377,49.79
13287,Turner GA,1.0,1942,1469,56.93
13289,Twiggs GA,1.0,1405,1550,47.55
13291,Union GA,1.0,4252,5691,42.76
13293,Upson GA,1.0,4977,5341,48.24
13295,Walker GA,0.0,12123,14365,45.77
13297,Walton GA,0.0,16395,19271,45.97
13299,Ware GA,1.0,7139,5418,56.85
13301,Warren GA,1.0,1067,863,55.28
13303,Washington GA,1.0,4082,3314,55.19
13305,Wayne GA,1.0,6163,4185,59.56
13307,Webster GA,1.0,444,383,53.69
13309,Wheeler GA,1.0,1526,1038,59.52
13311,White GA,1.0,4842,6469,42.81
13313,Whitfield GA,0.0,17800,17946,49.8
13315,Wilcox GA,1.0,1818,1190,60.44
13317,Wilkes GA,1.0,1964,1580,55.42
13319,Wilkinson GA,1.0,1562,1717,47.64
13321,Worth GA,1.0,4223,3529,54.48
15001,Hawaii HI,0.0,34847,37347,48.27
15003,Honolulu HI,0.0,134343,203751,39.74
15005,Kalawao HI,1.0,0,2,0.0
15007,Kauai HI,1.0,11648,12915,47.42
15009,Maui HI,0.0,26171,29029,47.41
16001,Ada ID,0.0,70523,124865,36.09
16003,Adams ID,1.0,792,952,45.41
16005,Bannock ID,0.0,15186,17338,46.69
16007,Bear Lake ID,1.0,1115,1279,46.57
16009,Benewah ID,1.0,1709,2279,42.85
16011,Bingham ID,1.0,6898,7957,46.44
16013,Blaine ID,1.0,3822,4995,43.35
16015,Boise ID,1.0,1373,1669,45.13
16017,Bonner ID,1.0,8451,11251,42.89
16019,Bonneville ID,0.0,17103,25778,39.88
16021,Boundary ID,1.0,2169,2878,42.98
16023,Butte ID,1.0,448,560,44.44
16025,Camas ID,1.0,154,213,41.96
16027,Canyon ID,0.0,37783,47551,44.28
16029,Caribou ID,1.0,1232,1408,46.67
16031,Cassia ID,1.0,4389,4841,47.55
16033,Clark ID,1.0,105,139,43.03
16035,Clearwater ID,1.0,1575,1912,45.17
16037,Custer ID,1.0,765,928,45.19
16039,Elmore ID,1.0,4512,5903,43.32
16041,Franklin ID,1.0,2474,2822,46.71
