puma22,Num Eligible,Num Ineligible,Percentage Eligible
0920604,15988,40318,28.39
0920701,28039,17060,62.17
0920702,24247,46995,34.03
0920703,19501,40542,32.48
0920801,35500,22232,61.49
0920802,18209,45585,28.54
0920901,24569,50929,32.54
0920902,10927,26082,29.53
0920903,16254,28526,36.3
0920904,25366,49934,33.69
1000101,14004,37481,27.2
1000102,22891,29360,43.81
1000103,13629,25449,34.88
1000104,14491,24719,36.96
1000105,12064,26449,31.32
1000200,31057,39197,44.21
1000301,21151,30953,40.59
1000302,21374,31254,40.61
1100101,8278,40175,17.08
1100102,17130,29388,36.82
1100103,15752,35846,30.53
1100104,40392,21033,65.76
1100105,16600,39264,29.72
1100106,16670,39034,29.93
1200101,31804,30589,50.97
1200102,14654,31139,32.0
1200398,20054,28925,40.94
1200500,33519,43241,43.67
1200798,37874,34617,52.25
1200901,17335,26038,39.97
1200902,16934,39820,29.84
1200903,21115,32401,39.46
1200904,30106,27420,52.33
1200905,17298,26107,39.85
1201101,13932,23043,37.68
1201102,18478,22899,44.66
1201103,22164,23513,48.52
1201104,22276,27373,44.87
1201105,19814,21608,47.83
1201106,30842,39030,44.14
1201107,22839,13890,62.18
1201108,23361,33101,41.37
1201109,22421,24534,47.75
1201110,14312,27545,34.19
1201111,13809,26864,33.95
1201112,15938,22899,41.04
1201113,22705,23387,49.26
1201114,21672,16585,56.65
1201115,11206,23075,32.69
1201116,23260,27232,46.07
1201117,9526,22588,29.66
1201398,35124,33674,51.05
1201500,35670,53318,40.08
1201700,30467,37801,44.63
1201901,14536,24486,37.25
1201902,15431,26010,37.24
1202101,15689,46670,25.16
1202102,20014,31793,38.63
1202103,19020,30745,38.22
1202799,33832,27537,55.13
1203101,25966,31467,45.21
1203102,33034,13087,71.62
1203103,38242,34537,52.55
1203104,20661,26811,43.52
1203105,19545,36483,34.88
1203106,21086,49397,29.92
1203107,20375,35609,36.39
1203301,17097,24727,40.88
1203302,22119,23061,48.96
1203303,19253,20740,48.14
1203500,17207,29889,36.54
1204798,21278,15975,57.12
1205199,23131,13952,62.38
1205300,37445,44052,45.95
1205701,36816,22553,62.01
1205702,15070,29870,33.53
1205703,28232,41430,40.53
1205704,20721,31299,39.83
1205705,29133,37941,43.43
1205706,20878,26749,43.84
1205707,22789,36797,38.25
1205708,13229,26905,32.96
1205709,12924,25052,34.03
1205710,16383,38450,29.88
1205711,15409,28801,34.85
1205998,23012,29690,43.66
1206100,25653,44321,36.66
1206901,18439,23992,43.46
1206902,20816,40128,34.16
1206903,19997,38022,34.47
1207101,20080,39417,33.75
1207102,17116,26667,39.09
1207103,35812,32398,52.5
1207104,24372,25590,48.78
1207105,16724,37884,30.63
1207106,16812,27524,37.92
1207301,17845,42066,29.79
1207302,35095,26418,57.05
1208101,18413,39279,31.92
1208102,20502,30677,40.06
1208103,14815,39830,27.11
1208301,20743,23574,46.81
1208302,21767,25541,46.01
1208303,29149,36576,44.35
1208500,25804,43393,37.29
1208601,20214,18593,52.09
1208602,24163,11347,68.05
1208603,19798,16972,53.84
1208604,18245,20575,47.0
1208605,22387,14615,60.5
1208606,29630,10250,74.3
1208607,26427,11678,69.35
1208608,17379,16029,52.02
1208609,29862,10516,73.96
1208610,17104,16318,51.18
1208611,27103,21346,55.94
1208612,19398,26567,42.2
1208613,36116,17378,67.51
1208614,19479,32036,37.81
1208615,27992,14106,66.49
1208616,11524,28335,28.91
1208617,17917,17942,49.97
1208618,17031,16410,50.93
1208619,16665,18324,47.63
1208620,16345,22586,41.98
1208621,21229,24825,46.1
1208622,25920,15945,61.91
1208623,18083,16716,51.96
1208624,24835,10821,69.65
1208625,18559,25883,41.76
1209101,15562,28580,35.25
1209102,14226,26134,35.25
1209501,25051,25658,49.4
1209502,21373,27651,43.6
1209503,19482,41670,31.86
1209504,32665,27867,53.96
1209505,26467,31807,45.42
1209506,24882,15213,62.06
1209507,22167,34187,39.34
1209508,22155,18738,54.18
1209509,21021,25770,44.93
1209510,22936,25516,47.34
1209701,18343,16649,52.42
1209702,14945,20101,42.64
1209703,30819,32183,48.92
1209901,12745,34754,26.83
1209902,19007,35799,34.68
1209903,35597,32562,52.23
1209904,27712,20916,56.99
1209905,24076,23100,51.03
1209906,27152,42612,38.92
1209907,24830,38025,39.5
1209908,15751,38931,28.8
1209909,16134,28858,35.86
1209910,10024,34775,22.38
1209911,23144,28972,44.41
1210101,23118,35714,39.29
1210102,21578,28255,43.3
1210103,32957,28268,53.83
1210104,16595,43023,27.84
1210301,16254,35732,31.27
1210302,19656,32938,37.37
1210303,19733,27588,41.7
1210304,20617,29358,41.25
1210305,14600,34529,29.72
1210306,24308,26411,47.93
1210307,26533,45845,36.66
1210308,16536,30037,35.51
1210501,21312,19195,52.61
1210502,34074,34563,49.64
1210503,24224,34660,41.14
1210504,33201,27607,54.6
1210505,24622,22980,51.72
1210799,22128,21532,50.68
1210902,9387,31191,23.13
1210903,12640,41972,23.15
1211101,21468,22179,49.19
1211102,17272,23955,41.89
1211103,18027,28479,38.76
1211300,21453,50269,29.91
1211501,19664,41489,32.16
1211502,20112,50506,28.48
1211503,24046,48202,33.28
1211701,13950,34422,28.84
1211702,20326,26699,43.22
1211703,19886,27465,42.0
1211704,10923,34309,24.15
1211900,20912,43139,32.65
1212701,23605,29588,44.38
1212702,33672,35451,48.71
1212703,31652,37697,45.64
1212704,22461,30311,42.56
1300100,31666,37542,45.75
1300200,17800,17946,49.8
1300300,31473,40765,43.57
1300400,24598,32848,42.82
1300500,25556,25372,50.18
1300601,16646,19837,45.63
1300602,16347,19487,45.62
1300701,7133,28411,20.07
1300702,10236,40687,20.1
1300801,9001,30303,22.9
1300802,15306,45384,25.22
1300900,14286,24281,37.04
1301000,29145,33397,46.6
1301100,20564,37607,35.35
1301200,20199,31248,39.26
1301301,16735,33656,33.21
1301302,10895,43309,20.1
1301303,24363,40495,37.56
1301304,15041,33448,31.02
1301305,26465,48349,35.37
1301401,13333,42114,24.05
1301402,9527,41940,18.51
1301403,11264,40883,21.6
1301404,19425,64518,23.14
1301405,23890,46130,34.12
1301406,37575,26752,58.41
1301407,21734,23292,48.27
1301408,19399,22566,46.23
1301501,14740,44259,24.98
1301502,18606,27192,40.63
1301503,16847,27181,38.26
1301504,13984,30253,31.61
1301505,14775,24432,37.68
1301506,17792,26109,40.53
1301601,23736,35911,39.79
1301602,13236,31332,29.7
1301603,15460,28819,34.91
1301604,17360,24322,41.65
1301605,19055,25333,42.93
1301606,20406,22479,47.58
1301607,20640,25866,44.38
1301700,24075,31303,43.47
1301800,26161,29171,47.28
1301900,17954,31046,36.64
1302000,22278,26179,45.97
1302100,32420,42237,43.43
1302201,15011,27723,35.13
1302202,15249,27033,36.06
1302301,33388,23049,59.16
1302302,26737,23041,53.71
1302400,12584,31375,28.63
1302500,16425,38977,29.65
1302600,19062,24797,43.46
1302700,19380,19553,49.78
1302800,28398,30468,48.24
1302900,31515,34648,47.63
1303000,29575,28251,51.14
1303100,25819,20942,55.21
1303200,15106,35803,29.67
1303301,19608,17077,53.45
1303302,20191,17825,53.11
1303400,28196,29928,48.51
1303500,29208,19059,60.51
1303600,26729,36616,42.2
1303700,30272,26077,53.72
1303800,40867,43071,48.69
1303900,26980,17528,60.62
1304000,24952,22423,52.67
1304100,22848,19065,54.51
1304200,27766,20987,56.95
1304300,24682,20457,54.68
1304400,33401,25317,56.88
1304500,31223,21173,59.59
1304600,22038,23518,48.38
1304701,36478,33558,52.08
1304702,15746,35246,30.88
1304800,26547,34843,43.24
1500100,37837,41957,47.42
1500200,34847,37347,48.27
1500301,15543,12844,54.75
1500302,11403,26114,30.39
1500303,11588,28315,29.04
1500304,27251,37037,42.39
1500305,18910,17664,51.7
1500306,17272,30777,35.95
1500307,15707,28380,35.63
1500308,16630,22583,42.41
1600100,22831,30340,42.94
1600200,24653,41276,37.39
1600300,19860,24151,45.13
1600400,20387,29637,40.75
1600500,23599,24563,49.0
1600600,22403,35335,38.8
1600701,17099,33637,33.7
1600702,16589,29863,35.71
1600800,18554,33571,35.6
1600900,20418,22525,47.55
1601000,18997,24845,43.33
1601100,21813,25169,46.43
1601200,17103,25778,39.88
1601300,22713,25929,46.69
1700100,25717,33569,43.38
1700701,21668,33209,39.48
1701901,30551,40008,43.3
1701902,28259,32163,46.77
1702900,24227,29322,45.24
1703101,16951,32695,34.14
1703102,16209,23168,41.16
1703103,13129,28925,31.22
1703104,14083,34433,29.03
1703105,16309,34640,32.01
1703106,13060,41385,23.99
1703107,21220,36889,36.52
1703108,24252,42265,36.46
1703109,22328,23315,48.92
1703110,17373,24517,41.47
1703111,18482,24984,42.52
1703112,21599,27765,43.75
1703113,22558,34754,39.36
1703114,28881,38589,42.81
1703115,16114,35340,31.32
1703116,23640,29883,44.17
1703117,33309,22423,59.77
1703118,29630,30659,49.15
1703151,21437,34036,38.64
1703152,26266,37168,41.41
1703153,36882,50702,42.11
1703154,18189,75597,19.39
1703155,22411,39714,36.07
1703156,20595,28728,41.76
1703157,37957,20106,65.37
1703158,39954,15783,71.68
1703159,24887,48913,33.72
1703160,24073,81615,22.78
1703161,40448,26939,60.02
1703162,26195,25679,50.5
1703163,33183,17596,65.35
1703164,29659,26308,52.99
1703165,36350,10415,77.73
1703166,27285,22662,54.63
1703167,35848,18453,66.02
1703168,34185,19394,63.8
1703700,24649,35655,40.87
1704301,19466,39771,32.86
1704302,12116,31948,27.5
1704303,13610,35405,27.77
1704304,11127,32125,25.73
1704305,13198,33287,28.39
1704306,13308,36327,26.81
1704307,14332,44088,24.53
1704900,21411,27746,43.56
1707300,24523,32051,43.35
1708901,9592,37331,20.44
1708902,20243,28128,41.85
1708903,13083,32449,28.73
1708904,23338,18654,55.58
1709100,23223,36325,39.0
1709300,14719,31711,31.7
1709500,24457,36102,40.39
1709701,20381,34326,37.25
1709702,25115,24406,50.72
1709703,16442,39958,29.15
1709704,6917,35703,16.23
1709705,10522,40206,20.74
1709900,25071,34531,42.06
1711101,16602,34768,32.32
1711102,18456,48046,27.75
1711300,24206,45057,34.95
1711500,26760,31116,46.24
1711700,21601,28572,43.05
1711901,27902,30881,47.47
1711902,14136,36610,27.86
1712100,27819,40468,40.74
1713500,22033,33289,39.83
1714300,34633,44681,43.67
1716100,24676,35511,41.0
1716301,26791,36322,42.45
1716302,19657,30113,39.5
1716500,23883,27817,46.2
1716700,32442,51972,38.43
1717900,20616,34593,37.34
1719500,28564,42728,40.07
1719701,14223,44602,24.18
1719702,13662,31949,29.95
1719703,24018,24892,49.11
1719704,8298,36109,18.69
