zcta,Num Eligible,Num Ineligible,Percentage Eligible
04255,173,150,53.56
04256,512,785,39.48
04257,654,566,53.61
04258,456,698,39.51
04259,581,802,42.01
04260,669,1720,28.0
04261,118,102,53.64
04263,373,572,39.47
04265,165,228,41.98
04267,7,6,53.85
04268,1208,1047,53.57
04270,1447,1254,53.57
04271,11,10,52.38
04274,972,1488,39.51
04275,110,95,53.66
04276,1392,1206,53.58
04280,1100,1684,39.51
04281,1219,1056,53.58
04282,957,1466,39.5
04284,203,281,41.94
04285,88,76,53.66
04286,4,3,57.14
04287,370,951,28.01
04289,422,366,53.55
04290,353,305,53.65
04292,235,204,53.53
04294,918,796,53.56
04330,4810,6644,41.99
04341,12,19,38.71
04342,309,475,39.41
04344,547,755,42.01
04345,2203,3043,41.99
04346,319,440,42.03
04347,470,649,42.0
04348,563,866,39.4
04349,212,293,41.98
04350,655,905,41.99
04351,450,621,42.02
04352,314,434,41.98
04353,419,645,39.38
04354,281,433,39.36
04355,474,655,41.98
04357,415,1067,28.0
04358,800,1105,41.99
04359,84,115,42.21
04360,106,147,41.9
04363,481,665,41.97
04364,1118,1545,41.98
04401,9316,9869,48.56
