sduni20,Num Eligible,Num Ineligible,Percentage Eligible
0634620,58315,79149,42.42
0634680,10596,17007,38.39
0634710,11116,16380,40.43
0634740,3413,4763,41.74
0634800,14729,22370,39.7
0634860,2321,2456,48.59
0634880,17429,29955,36.78
0635070,523,267,66.2
0635130,10468,48258,17.83
0635250,9969,7040,58.61
0635310,38248,22606,62.85
0635430,17396,48628,26.35
0635700,16803,34110,33.0
0636270,5959,2324,71.94
0636450,239,370,39.24
0636670,766,1613,32.2
0636780,679,916,42.57
0636800,6969,5539,55.72
0636805,1459,1197,54.93
0636820,2612,1798,59.23
0636840,16311,29556,35.56
0636970,7597,6445,54.1
0637050,3256,3621,47.35
0637200,5467,9042,37.68
0637500,4314,5411,44.36
0637530,9469,18434,33.94
0637590,1846,1379,57.24
0637620,4354,3464,55.69
0637630,186,139,57.23
0637830,1264,2067,37.95
0638010,40798,25064,61.94
0638070,164,123,57.14
0638520,213,205,50.96
0638770,4857,8170,37.28
0638880,6990,5561,55.69
0638980,5660,5967,48.68
0639000,1550,2450,38.75
0639420,16091,40506,28.43
0639630,4213,6971,37.67
0639840,367,259,58.63
0639940,388,374,50.92
0640150,17741,31608,35.95
0640300,8512,7067,54.64
0640590,10419,21665,32.47
0640740,21196,25975,44.93
0640980,15444,29752,34.17
0641160,29869,22998,56.5
0641190,18465,29352,38.62
0641280,7614,9869,43.55
0641580,8824,10326,46.08
0642000,9435,7594,55.41
0642140,6494,14911,30.34
0642300,335,322,50.99
0642540,1206,903,57.18
0642560,2922,2426,54.64
0642580,651,541,54.61
0642710,1839,1377,57.18
0642930,1479,1835,44.63
0643080,10892,12728,46.11
0643470,15025,11604,56.42
0643560,9097,12515,42.09
0684500,36262,63722,36.27
0691134,1346,509,72.56
0691135,13831,10010,58.01
0691136,1286,1645,43.88
0691137,1015,1306,43.73
0699997,0,0,
0699999,1588757,2012115,44.12
0800001,196,283,40.92
0800016,760,1100,40.86
0800017,609,882,40.85
0800018,93,135,40.79
0800019,76,111,40.64
0801920,11550,34690,24.98
0801950,5789,8242,41.26
0801980,123,178,40.86
0802010,263,237,52.6
0802040,391,566,40.86
0802070,3519,3167,52.63
0802130,436,393,52.59
0802190,2391,3180,42.92
0802220,82,119,40.8
0802260,183,264,40.94
0802280,1392,3428,28.88
0802310,1171,1471,44.32
0802340,38614,45490,45.91
0802370,1683,2193,43.42
0802400,1831,2435,42.92
0802430,732,1648,30.76
0802460,78,113,40.84
0802490,27824,68728,28.82
0802520,145,131,52.54
0802550,136,171,44.3
0802580,15541,22424,40.94
0802610,1246,1804,40.85
0802640,1620,2112,43.41
0802670,633,917,40.84
0802700,269,606,30.74
0802730,439,678,39.3
0802760,55,50,52.38
0802790,5126,6693,43.37
0802850,676,609,52.61
0802880,180,162,52.63
0802910,36522,83417,30.45
0802940,3081,6664,31.62
0803000,914,3025,23.2
0803030,471,431,52.22
0803060,39243,63130,38.33
0803090,3486,4637,42.92
0803120,586,764,43.41
0803150,198,179,52.52
0803180,693,1076,39.17
0803210,890,1289,40.84
0803240,204,197,50.87
0803270,152,343,30.71
0803300,907,816,52.64
0803330,6799,6224,52.21
0803360,122709,207300,37.18
0803390,727,967,42.92
0803420,464,605,43.41
0803450,24677,112297,18.02
0803480,7702,10244,42.92
